Datetime,open,high,low,close,volume
2014-09-02,104.799,105.31,104.74,105.175,233010
2014-09-03,105.175,105.201,104.7,104.83,243984
2014-09-04,104.83,105.706,104.767,105.308,292677
2014-09-05,105.308,105.371,104.66,105.04,190358
2014-09-07,105.04,105.228,104.86,105.078,50629
2014-09-08,105.078,106.337,105.028,106.255,295714
2014-09-09,106.255,106.531,106.01,106.468,302448
2014-09-10,106.462,106.947,106.31,106.915,311639
2014-09-11,106.915,107.396,106.628,107.267,319232
2014-09-12,107.267,107.384,107.06,107.3,202533
2014-09-14,107.25,107.367,107.13,107.286,48067
2014-09-15,107.279,107.352,106.89,107.231,247521
2014-09-16,107.231,107.332,106.78,107.227,271263
2014-09-17,107.228,108.773,107.11,108.735,340740
2014-09-18,108.734,109.46,108.46,109.146,331521
2014-09-19,109.155,109.262,108.56,109.01,218283
2014-09-21,109.07,109.184,108.63,108.813,74078
2014-09-22,108.816,109.194,108.56,108.762,261561
2014-09-23,108.762,108.993,108.23,108.52,311916
2014-09-24,108.514,109.339,108.45,109.131,291615
2014-09-25,109.129,109.372,108.45,108.973,354924
2014-09-26,108.979,109.539,108.81,109.25,223223
2014-09-28,109.19,109.516,109.16,109.452,81837
2014-09-29,109.449,109.744,109.1,109.301,307558
2014-09-30,109.308,110.089,109.19,109.938,338165
2014-10-01,109.936,109.98,108.53,108.701,398165
2014-10-02,108.698,108.955,107.98,108.798,397882
2014-10-03,108.806,109.902,108.64,109.75,232087
2014-10-05,109.749,109.852,109.51,109.591,54157
2014-10-06,109.603,109.603,108.62,108.955,337080
2014-10-07,108.948,108.959,107.72,108.412,407581
2014-10-08,108.407,108.742,107.76,107.87,420875
2014-10-09,107.873,108.182,107.49,107.81,436979
2014-10-10,107.811,108.154,107.59,107.63,313205
2014-10-12,107.58,107.607,107.02,107.181,78116
2014-10-13,107.181,107.573,106.69,107.159,359821
2014-10-14,107.157,107.406,106.648,107.256,418344
2014-10-15,107.259,107.496,105.18,106.117,533223
2014-10-16,106.127,106.495,105.46,106.24,511733
2014-10-17,106.235,106.941,106.12,106.87,289404
2014-10-19,106.91,107.392,106.91,107.358,74417
2014-10-20,107.353,107.365,106.27,106.343,327232
2014-10-21,106.341,107.112,106.22,106.953,322994
2014-10-22,106.963,107.374,106.75,107.251,315272
2014-10-23,107.248,108.352,107.1,107.97,342313
2014-10-24,107.964,108.275,107.75,108.1,230881
2014-10-26,108.112,108.367,107.82,107.925,50620
2014-10-27,107.925,108.089,107.58,107.854,278484
2014-10-28,107.855,108.235,107.67,108.112,272910
2014-10-29,108.116,109.155,107.91,109.086,316687
2014-10-30,109.096,111.006,108.76,110.883,392494
2014-10-31,110.886,112.475,110.71,112.31,363723
2014-11-02,112.42,112.984,112.41,112.7,85376
2014-11-03,112.705,114.213,112.53,113.383,407064
2014-11-04,113.38,114.386,113.13,114.299,411456
2014-11-05,114.296,115.516,114.04,114.287,478176
2014-11-06,114.282,115.467,114.207,115.342,421201
2014-11-07,115.351,115.585,114.22,114.56,311651
2014-11-09,114.45,114.564,113.93,114.137,81494
2014-11-10,114.138,115.351,113.83,115.153,279030
2014-11-11,115.153,116.103,115.015,115.297,375379
2014-11-12,115.318,115.882,114.87,115.729,398130
2014-11-13,115.725,116.292,115.298,116.263,422528
2014-11-14,116.266,116.825,116.03,116.264,311533
2014-11-16,116.34,117.052,115.43,115.618,172972
2014-11-17,115.609,116.784,115.54,116.593,379134
2014-11-18,116.598,117.416,116.32,117.281,416494
2014-11-19,117.284,118.708,117.2,118.64,434084
2014-11-20,118.641,118.977,117.33,117.87,520456
2014-11-21,117.872,118.12,117.34,117.76,315746
2014-11-23,117.64,118.02,117.53,117.967,74708
2014-11-24,117.968,118.579,117.76,117.857,384322
2014-11-25,117.857,118.291,117.64,117.775,365419
2014-11-26,117.77,117.902,117.25,117.312,358177
2014-11-27,117.319,118.34,117.2,118.207,290430
2014-11-28,118.209,118.773,118.03,118.67,215705
